targetID;kegg_pathwayID;kegg_pathwayName
TTDNC00613;hsa04662;B cell receptor signaling pathway
TTDNC00613;hsa04664;Fc epsilon RI signaling pathway
TTDNC00613;hsa04720;Long-term potentiation
TTDNC00613;hsa04722;Neurotrophin signaling pathway
TTDNC00613;hsa04730;Long-term depression
TTDNC00613;hsa04810;Regulation of actin cytoskeleton
TTDNC00613;hsa04910;Insulin signaling pathway
TTDNC00613;hsa04912;GnRH signaling pathway
TTDNC00613;hsa04915;Estrogen signaling pathway
TTDNC00613;hsa04916;Melanogenesis
TTDNC00613;hsa04917;Prolactin signaling pathway
TTDNC00613;hsa04919;Thyroid hormone signaling pathway
TTDNC00613;hsa04921;Oxytocin signaling pathway
TTDNC00613;hsa05020;Prion diseases
TTDNC00613;hsa05161;Hepatitis B
TTDNC00613;hsa05164;Influenza A
TTDNC00613;hsa05200;Pathways in cancer
TTDNC00613;hsa05205;Proteoglycans in cancer
TTDNC00613;hsa05206;MicroRNAs in cancer
TTDNC00613;hsa05211;Renal cell carcinoma
TTDNC00613;hsa05213;Endometrial cancer
TTDNC00613;hsa05214;Glioma
TTDNC00613;hsa05215;Prostate cancer
TTDNC00613;hsa05216;Thyroid cancer
TTDNC00613;hsa05218;Melanoma
TTDNC00613;hsa05219;Bladder cancer
TTDNC00613;hsa05220;Chronic myeloid leukemia
TTDNC00613;hsa05221;Acute myeloid leukemia
TTDNC00613;hsa05223;Non-small cell lung cancer
TTDNC00613;hsa05230;Central carbon metabolism in cancer
TTDNC00613;hsa05231;Choline metabolism in cancer
TTDNC00616;hsa03320;PPAR signaling pathway
TTDNC00621;hsa04010;MAPK signaling pathway
TTDNC00621;hsa04014;Ras signaling pathway
TTDNC00621;hsa04015;Rap1 signaling pathway
TTDNC00621;hsa04144;Endocytosis
TTDNC00621;hsa04151;PI3K-Akt signaling pathway
TTDNC00621;hsa04550;Signaling pathways regulating pluripotency of stem cells
TTDNC00621;hsa04810;Regulation of actin cytoskeleton
TTDNC00625;hsa04060;Cytokine-cytokine receptor interaction
TTDNC00625;hsa04350;TGF-beta signaling pathway
TTDNC00625;hsa04550;Signaling pathways regulating pluripotency of stem cells
TTDNC00630;hsa04010;MAPK signaling pathway
TTDNC00630;hsa04144;Endocytosis
TTDNC00630;hsa04210;Apoptosis
TTDNC00630;hsa04722;Neurotrophin signaling pathway
TTDNC00630;hsa04750;Inflammatory mediator regulation of TRP channels
TTDNC00630;hsa05200;Pathways in cancer
TTDNC00630;hsa05202;Transcriptional misregulation in cancer
TTDNC00630;hsa05216;Thyroid cancer
TTDNC00630;hsa05230;Central carbon metabolism in cancer
TTDNC00634;hsa04662;B cell receptor signaling pathway
TTDNC00645;hsa04010;MAPK signaling pathway
TTDNC00645;hsa04024;cAMP signaling pathway
TTDNC00645;hsa04722;Neurotrophin signaling pathway
TTDNC00645;hsa05016;Huntington's disease
TTDNC00645;hsa05030;Cocaine addiction
TTDNC00645;hsa05034;Alcoholism
TTDNC00650;hsa04060;Cytokine-cytokine receptor interaction
TTDNC00650;hsa04672;Intestinal immune network for IgA production
TTDNC00650;hsa05323;Rheumatoid arthritis
TTDNC00651;hsa04080;Neuroactive ligand-receptor interaction
TTDNC00653;hsa04911;Insulin secretion
TTDNC00658;hsa04080;Neuroactive ligand-receptor interaction
TTDNC00658;hsa04915;Estrogen signaling pathway
TTDNC00658;hsa05032;Morphine addiction
TTDNC00667;hsa04060;Cytokine-cytokine receptor interaction
TTDNC00667;hsa04062;Chemokine signaling pathway
TTDNC00667;hsa04672;Intestinal immune network for IgA production
TTDNC00676;hsa04610;Complement and coagulation cascades
TTDNC00676;hsa04640;Hematopoietic cell lineage
TTDNC00676;hsa04662;B cell receptor signaling pathway
TTDNC00676;hsa05169;Epstein-Barr virus infection
TTDNC00677;hsa00600;Sphingolipid metabolism
TTDNC00677;hsa01100;Metabolic pathways
TTDNR00643;hsa04614;Renin-angiotensin system
TTDNR00649;hsa04010;MAPK signaling pathway
TTDNR00649;hsa04722;Neurotrophin signaling pathway
TTDNR00649;hsa05034;Alcoholism
TTDNR00652;hsa04060;Cytokine-cytokine receptor interaction
TTDNR00652;hsa04630;Jak-STAT signaling pathway
TTDNR00671;hsa03008;Ribosome biogenesis in eukaryotes
TTDNR00671;hsa03013;RNA transport
TTDNR00671;hsa05164;Influenza A
TTDNR00671;hsa05166;HTLV-I infection
TTDNR00671;hsa05169;Epstein-Barr virus infection
TTDNR00702;hsa04310;Wnt signaling pathway
TTDNR00709;hsa04360;Axon guidance
TTDNR00714;hsa04141;Protein processing in endoplasmic reticulum
TTDNR00726;hsa03320;PPAR signaling pathway
TTDNR00726;hsa04145;Phagosome
TTDNR00726;hsa04152;AMPK signaling pathway
TTDNR00726;hsa04512;ECM-receptor interaction
TTDNR00726;hsa04640;Hematopoietic cell lineage
TTDNR00726;hsa04920;Adipocytokine signaling pathway
TTDNR00726;hsa04975;Fat digestion and absorption
TTDNR00726;hsa05144;Malaria
TTDNR00746;hsa05221;Acute myeloid leukemia
TTDNS00536;hsa04340;Hedgehog signaling pathway
TTDNS00536;hsa05200;Pathways in cancer
TTDNS00536;hsa05205;Proteoglycans in cancer
TTDNS00536;hsa05217;Basal cell carcinoma
TTDNS00537;hsa04020;Calcium signaling pathway
TTDNS00537;hsa04080;Neuroactive ligand-receptor interaction
TTDNS00541;hsa00563;Glycosylphosphatidylinositol(GPI)-anchor biosynthesis
TTDNS00541;hsa01100;Metabolic pathways
TTDNS00542;hsa04014;Ras signaling pathway
TTDNS00542;hsa04015;Rap1 signaling pathway
TTDNS00542;hsa04060;Cytokine-cytokine receptor interaction
TTDNS00542;hsa04066;HIF-1 signaling pathway
TTDNS00542;hsa04150;mTOR signaling pathway
TTDNS00542;hsa04151;PI3K-Akt signaling pathway
TTDNS00542;hsa04370;VEGF signaling pathway
TTDNS00542;hsa04510;Focal adhesion
TTDNS00542;hsa05200;Pathways in cancer
TTDNS00542;hsa05205;Proteoglycans in cancer
TTDNS00542;hsa05206;MicroRNAs in cancer
TTDNS00542;hsa05211;Renal cell carcinoma
TTDNS00542;hsa05212;Pancreatic cancer
TTDNS00542;hsa05219;Bladder cancer
TTDNS00542;hsa05323;Rheumatoid arthritis
TTDNS00544;hsa04080;Neuroactive ligand-receptor interaction
TTDNS00564;hsa04970;Salivary secretion
TTDNS00564;hsa05152;Tuberculosis
TTDNS00582;hsa04020;Calcium signaling pathway
TTDNS00582;hsa04024;cAMP signaling pathway
TTDNS00582;hsa04080;Neuroactive ligand-receptor interaction
TTDNS00582;hsa04151;PI3K-Akt signaling pathway
TTDNS00582;hsa04725;Cholinergic synapse
TTDNS00582;hsa04810;Regulation of actin cytoskeleton
TTDNS00592;hsa04012;ErbB signaling pathway
TTDNS00592;hsa04014;Ras signaling pathway
TTDNS00592;hsa04110;Cell cycle
TTDNS00592;hsa04360;Axon guidance
TTDNS00592;hsa04722;Neurotrophin signaling pathway
TTDNS00592;hsa05130;Pathogenic Escherichia coli infection
TTDNS00592;hsa05131;Shigellosis
TTDNS00592;hsa05200;Pathways in cancer
TTDNS00592;hsa05206;MicroRNAs in cancer
TTDNS00592;hsa05220;Chronic myeloid leukemia
TTDNS00592;hsa05416;Viral myocarditis
TTDNS00593;hsa04144;Endocytosis
TTDNS00593;hsa05200;Pathways in cancer
TTDNS00593;hsa05216;Thyroid cancer
TTDNS00593;hsa05230;Central carbon metabolism in cancer
TTDNS00605;hsa02010;ABC transporters
TTDNS00605;hsa04024;cAMP signaling pathway
TTDNS00605;hsa04152;AMPK signaling pathway
TTDNS00605;hsa04971;Gastric acid secretion
TTDNS00605;hsa04972;Pancreatic secretion
TTDNS00605;hsa04976;Bile secretion
TTDNS00605;hsa05110;Vibrio cholerae infection
TTDNS00611;hsa04151;PI3K-Akt signaling pathway
TTDNS00611;hsa04380;Osteoclast differentiation
TTDNS00611;hsa04550;Signaling pathways regulating pluripotency of stem cells
TTDNS00611;hsa04630;Jak-STAT signaling pathway
TTDNS00611;hsa05140;Leishmaniasis
TTDNS00611;hsa05145;Toxoplasmosis
TTDNS00611;hsa05152;Tuberculosis
TTDNS00611;hsa05160;Hepatitis C
TTDNS00611;hsa05161;Hepatitis B
TTDNS00611;hsa05162;Measles
TTDNS00611;hsa05164;Influenza A
TTDNS00611;hsa05166;HTLV-I infection
TTDNS00611;hsa05168;Herpes simplex infection
TTDNS00611;hsa05169;Epstein-Barr virus infection
TTDNS00611;hsa05200;Pathways in cancer
TTDNS00611;hsa05203;Viral carcinogenesis
TTDNS00611;hsa05212;Pancreatic cancer
TTDNS00615;hsa00230;Purine metabolism
TTDNS00615;hsa04022;cGMP-PKG signaling pathway
TTDR00006;hsa04080;Neuroactive ligand-receptor interaction
TTDR00006;hsa04912;GnRH signaling pathway
TTDR00006;hsa04913;Ovarian steroidogenesis
TTDR00006;hsa04917;Prolactin signaling pathway
TTDR00006;hsa04918;Thyroid hormone synthesis
TTDR00006;hsa05320;Autoimmune thyroid disease
TTDR00007;hsa02010;ABC transporters
TTDR00007;hsa04976;Bile secretion
TTDR00007;hsa05206;MicroRNAs in cancer
TTDR00008;hsa00030;Pentose phosphate pathway
TTDR00008;hsa00480;Glutathione metabolism
TTDR00008;hsa01100;Metabolic pathways
TTDR00008;hsa01130;Biosynthesis of antibiotics
TTDR00008;hsa01200;Carbon metabolism
TTDR00008;hsa05230;Central carbon metabolism in cancer
TTDR00010;hsa00330;Arginine and proline metabolism
TTDR00010;hsa00340;Histidine metabolism
TTDR00010;hsa00380;Tryptophan metabolism
TTDR00011;hsa04015;Rap1 signaling pathway
TTDR00011;hsa04080;Neuroactive ligand-receptor interaction
TTDR00011;hsa05150;Staphylococcus aureus infection
TTDR00012;hsa04060;Cytokine-cytokine receptor interaction
TTDR00012;hsa04151;PI3K-Akt signaling pathway
TTDR00012;hsa04210;Apoptosis
TTDR00012;hsa04630;Jak-STAT signaling pathway
TTDR00012;hsa04640;Hematopoietic cell lineage
TTDR00015;hsa04614;Renin-angiotensin system
TTDR00018;hsa00100;Steroid biosynthesis
TTDR00018;hsa01100;Metabolic pathways
TTDR00020;hsa02010;ABC transporters
TTDR00020;hsa04976;Bile secretion
TTDR00029;hsa04310;Wnt signaling pathway
TTDR00032;hsa04060;Cytokine-cytokine receptor interaction
TTDR00032;hsa04630;Jak-STAT signaling pathway
TTDR00033;hsa00140;Steroid hormone biosynthesis
TTDR00033;hsa00590;Arachidonic acid metabolism
TTDR00033;hsa01100;Metabolic pathways
TTDR00033;hsa04913;Ovarian steroidogenesis
TTDR00035;hsa04964;Proximal tubule bicarbonate reclamation
TTDR00035;hsa04974;Protein digestion and absorption
TTDR00035;hsa04976;Bile secretion
TTDR00035;hsa04978;Mineral absorption
TTDR00036;hsa05162;Measles
TTDR00042;pfa00061;Fatty acid biosynthesis
TTDR00042;pfa00780;Biotin metabolism
TTDR00042;pfa01100;Metabolic pathways
TTDR00042;pfa01212;Fatty acid metabolism
TTDR00048;rno04010;MAPK signaling pathway
TTDR00048;rno04020;Calcium signaling pathway
TTDR00048;rno04713;Circadian entrainment
TTDR00081;hsa04015;Rap1 signaling pathway
TTDR00081;hsa04080;Neuroactive ligand-receptor interaction
TTDR00081;hsa04611;Platelet activation
TTDR00082;hsa03320;PPAR signaling pathway
TTDR00082;hsa05016;Huntington's disease
TTDR00085;hsa04010;MAPK signaling pathway
TTDR00085;hsa04726;Serotonergic synapse
TTDR00086;hsa04060;Cytokine-cytokine receptor interaction
TTDR00086;hsa04151;PI3K-Akt signaling pathway
TTDR00086;hsa04630;Jak-STAT signaling pathway
TTDR00086;hsa04640;Hematopoietic cell lineage
TTDR00086;hsa04660;T cell receptor signaling pathway
TTDR00086;hsa04664;Fc epsilon RI signaling pathway
TTDR00086;hsa04672;Intestinal immune network for IgA production
TTDR00086;hsa05140;Leishmaniasis
TTDR00086;hsa05162;Measles
TTDR00086;hsa05310;Asthma
TTDR00086;hsa05320;Autoimmune thyroid disease
TTDR00086;hsa05321;Inflammatory bowel disease (IBD)
TTDR00086;hsa05330;Allograft rejection
TTDR00088;hsa04060;Cytokine-cytokine receptor interaction
TTDR00088;hsa04630;Jak-STAT signaling pathway
TTDR00088;hsa04640;Hematopoietic cell lineage
TTDR00088;hsa04660;T cell receptor signaling pathway
TTDR00088;hsa04664;Fc epsilon RI signaling pathway
TTDR00088;hsa04672;Intestinal immune network for IgA production
TTDR00088;hsa05310;Asthma
TTDR00088;hsa05320;Autoimmune thyroid disease
TTDR00088;hsa05321;Inflammatory bowel disease (IBD)
TTDR00088;hsa05330;Allograft rejection
TTDR00094;hsa00030;Pentose phosphate pathway
TTDR00094;hsa01100;Metabolic pathways
TTDR00094;hsa01130;Biosynthesis of antibiotics
TTDR00094;hsa01200;Carbon metabolism
TTDR00094;hsa01230;Biosynthesis of amino acids
TTDR00096;hsa04920;Adipocytokine signaling pathway
TTDR00109;hsa04080;Neuroactive ligand-receptor interaction
TTDR00109;hsa04750;Inflammatory mediator regulation of TRP channels
TTDR00109;hsa05143;African trypanosomiasis
TTDR00111;hsa04015;Rap1 signaling pathway
TTDR00111;hsa04080;Neuroactive ligand-receptor interaction
TTDR00111;hsa04611;Platelet activation
TTDR00111;hsa05200;Pathways in cancer
TTDR00116;hsa04010;MAPK signaling pathway
TTDR00116;hsa04110;Cell cycle
TTDR00116;hsa04914;Progesterone-mediated oocyte maturation
TTDR00116;hsa05206;MicroRNAs in cancer
TTDR00117;hsa04010;MAPK signaling pathway
TTDR00117;hsa04120;Ubiquitin mediated proteolysis
TTDR00117;hsa04622;RIG-I-like receptor signaling pathway
TTDR00117;hsa04722;Neurotrophin signaling pathway
TTDR00117;hsa04912;GnRH signaling pathway
TTDR00117;hsa05161;Hepatitis B
TTDR00117;hsa05166;HTLV-I infection
TTDR00118;hsa04080;Neuroactive ligand-receptor interaction
TTDR00138;hsa04060;Cytokine-cytokine receptor interaction
TTDR00138;hsa04068;FoxO signaling pathway
TTDR00138;hsa04630;Jak-STAT signaling pathway
TTDR00138;hsa04660;T cell receptor signaling pathway
TTDR00138;hsa04672;Intestinal immune network for IgA production
TTDR00138;hsa05133;Pertussis
TTDR00138;hsa05140;Leishmaniasis
TTDR00138;hsa05142;Chagas disease (American trypanosomiasis)
TTDR00138;hsa05143;African trypanosomiasis
TTDR00138;hsa05144;Malaria
TTDR00138;hsa05145;Toxoplasmosis
TTDR00138;hsa05146;Amoebiasis
TTDR00138;hsa05150;Staphylococcus aureus infection
TTDR00138;hsa05152;Tuberculosis
TTDR00138;hsa05169;Epstein-Barr virus infection
TTDR00138;hsa05310;Asthma
TTDR00138;hsa05320;Autoimmune thyroid disease
TTDR00138;hsa05321;Inflammatory bowel disease (IBD)
TTDR00138;hsa05322;Systemic lupus erythematosus
TTDR00138;hsa05330;Allograft rejection
TTDR00141;hsa04060;Cytokine-cytokine receptor interaction
TTDR00141;hsa04151;PI3K-Akt signaling pathway
TTDR00141;hsa04630;Jak-STAT signaling pathway
TTDR00141;hsa04660;T cell receptor signaling pathway
TTDR00141;hsa04672;Intestinal immune network for IgA production
TTDR00141;hsa04940;Type I diabetes mellitus
TTDR00141;hsa05142;Chagas disease (American trypanosomiasis)
TTDR00141;hsa05162;Measles
TTDR00141;hsa05166;HTLV-I infection
TTDR00141;hsa05320;Autoimmune thyroid disease
TTDR00141;hsa05321;Inflammatory bowel disease (IBD)
TTDR00141;hsa05330;Allograft rejection
TTDR00141;hsa05332;Graft-versus-host disease
TTDR00147;hsa04010;MAPK signaling pathway
TTDR00147;hsa04012;ErbB signaling pathway
TTDR00147;hsa04141;Protein processing in endoplasmic reticulum
TTDR00147;hsa04380;Osteoclast differentiation
TTDR00147;hsa04620;Toll-like receptor signaling pathway
TTDR00147;hsa04660;T cell receptor signaling pathway
TTDR00147;hsa04664;Fc epsilon RI signaling pathway
TTDR00147;hsa04668;TNF signaling pathway
TTDR00147;hsa04722;Neurotrophin signaling pathway
TTDR00147;hsa04912;GnRH signaling pathway
TTDR00147;hsa05164;Influenza A
TTDR00147;hsa05169;Epstein-Barr virus infection
TTDR00148;hsa04010;MAPK signaling pathway
TTDR00148;hsa04012;ErbB signaling pathway
TTDR00148;hsa04014;Ras signaling pathway
TTDR00148;hsa04015;Rap1 signaling pathway
TTDR00148;hsa04022;cGMP-PKG signaling pathway
TTDR00148;hsa04024;cAMP signaling pathway
TTDR00148;hsa04062;Chemokine signaling pathway
TTDR00148;hsa04066;HIF-1 signaling pathway
TTDR00148;hsa04068;FoxO signaling pathway
TTDR00148;hsa04071;Sphingolipid signaling pathway
TTDR00148;hsa04114;Oocyte meiosis
TTDR00148;hsa04151;PI3K-Akt signaling pathway
TTDR00148;hsa04270;Vascular smooth muscle contraction
TTDR00148;hsa04320;Dorso-ventral axis formation
TTDR00148;hsa04370;VEGF signaling pathway
TTDR00148;hsa04380;Osteoclast differentiation
TTDR00148;hsa04510;Focal adhesion
TTDR00148;hsa04540;Gap junction
TTDR00148;hsa04550;Signaling pathways regulating pluripotency of stem cells
TTDR00148;hsa04620;Toll-like receptor signaling pathway
TTDR00148;hsa04650;Natural killer cell mediated cytotoxicity
TTDR00148;hsa04660;T cell receptor signaling pathway
TTDR00148;hsa04662;B cell receptor signaling pathway
TTDR00148;hsa04664;Fc epsilon RI signaling pathway
TTDR00148;hsa04666;Fc gamma R-mediated phagocytosis
TTDR00148;hsa04668;TNF signaling pathway
TTDR00148;hsa04720;Long-term potentiation
TTDR00148;hsa04722;Neurotrophin signaling pathway
TTDR00148;hsa04725;Cholinergic synapse
TTDR00148;hsa04726;Serotonergic synapse
TTDR00148;hsa04730;Long-term depression
TTDR00148;hsa04810;Regulation of actin cytoskeleton
TTDR00148;hsa04910;Insulin signaling pathway
TTDR00148;hsa04912;GnRH signaling pathway
TTDR00148;hsa04914;Progesterone-mediated oocyte maturation
TTDR00148;hsa04915;Estrogen signaling pathway
TTDR00148;hsa04916;Melanogenesis
TTDR00148;hsa04917;Prolactin signaling pathway
TTDR00148;hsa04919;Thyroid hormone signaling pathway
TTDR00148;hsa04921;Oxytocin signaling pathway
TTDR00148;hsa05020;Prion diseases
TTDR00148;hsa05034;Alcoholism
TTDR00148;hsa05161;Hepatitis B
TTDR00148;hsa05164;Influenza A
TTDR00148;hsa05200;Pathways in cancer
TTDR00148;hsa05205;Proteoglycans in cancer
TTDR00148;hsa05206;MicroRNAs in cancer
TTDR00148;hsa05210;Colorectal cancer
TTDR00148;hsa05211;Renal cell carcinoma
TTDR00148;hsa05212;Pancreatic cancer
TTDR00148;hsa05213;Endometrial cancer
TTDR00148;hsa05214;Glioma
TTDR00148;hsa05215;Prostate cancer
TTDR00148;hsa05216;Thyroid cancer
TTDR00148;hsa05218;Melanoma
TTDR00148;hsa05219;Bladder cancer
TTDR00148;hsa05220;Chronic myeloid leukemia
TTDR00148;hsa05221;Acute myeloid leukemia
TTDR00148;hsa05223;Non-small cell lung cancer
TTDR00148;hsa05230;Central carbon metabolism in cancer
TTDR00148;hsa05231;Choline metabolism in cancer
TTDR00151;hsa04610;Complement and coagulation cascades
TTDR00152;hsa04068;FoxO signaling pathway
TTDR00152;hsa04110;Cell cycle
TTDR00152;hsa04114;Oocyte meiosis
TTDR00152;hsa04115;p53 signaling pathway
TTDR00152;hsa04914;Progesterone-mediated oocyte maturation
TTDR00154;hsa00052;Galactose metabolism
TTDR00154;hsa01100;Metabolic pathways
TTDR00154;hsa04973;Carbohydrate digestion and absorption
TTDR00157;hsa04014;Ras signaling pathway
TTDR00157;hsa04020;Calcium signaling pathway
TTDR00157;hsa04080;Neuroactive ligand-receptor interaction
TTDR00157;hsa04726;Serotonergic synapse
TTDR00159;hsa00970;Aminoacyl-tRNA biosynthesis
TTDR00164;hsa04080;Neuroactive ligand-receptor interaction
TTDR00164;hsa04725;Cholinergic synapse
TTDR00165;mtc00473;D-Alanine metabolism
TTDR00165;mtc00550;Peptidoglycan biosynthesis
TTDR00165;mtc01100;Metabolic pathways
TTDR00165;mtc01502;Vancomycin resistance
TTDR00171;hsa00240;Pyrimidine metabolism
TTDR00171;hsa00250;Alanine, aspartate and glutamate metabolism
TTDR00171;hsa01100;Metabolic pathways
TTDR00172;hsa00564;Glycerophospholipid metabolism
TTDR00172;hsa01100;Metabolic pathways
TTDR00172;hsa05231;Choline metabolism in cancer
TTDR00173;hsa00230;Purine metabolism
TTDR00173;hsa04015;Rap1 signaling pathway
TTDR00173;hsa04020;Calcium signaling pathway
TTDR00173;hsa04022;cGMP-PKG signaling pathway
TTDR00173;hsa04024;cAMP signaling pathway
TTDR00173;hsa04062;Chemokine signaling pathway
TTDR00173;hsa04114;Oocyte meiosis
TTDR00173;hsa04261;Adrenergic signaling in cardiomyocytes
TTDR00173;hsa04270;Vascular smooth muscle contraction
TTDR00173;hsa04540;Gap junction
TTDR00173;hsa04611;Platelet activation
TTDR00173;hsa04713;Circadian entrainment
TTDR00173;hsa04723;Retrograde endocannabinoid signaling
TTDR00173;hsa04724;Glutamatergic synapse
TTDR00173;hsa04725;Cholinergic synapse
TTDR00173;hsa04727;GABAergic synapse
TTDR00173;hsa04750;Inflammatory mediator regulation of TRP channels
TTDR00173;hsa04911;Insulin secretion
TTDR00173;hsa04912;GnRH signaling pathway
TTDR00173;hsa04913;Ovarian steroidogenesis
TTDR00173;hsa04914;Progesterone-mediated oocyte maturation
TTDR00173;hsa04915;Estrogen signaling pathway
TTDR00173;hsa04916;Melanogenesis
TTDR00173;hsa04918;Thyroid hormone synthesis
TTDR00173;hsa04921;Oxytocin signaling pathway
TTDR00173;hsa04922;Glucagon signaling pathway
TTDR00173;hsa04923;Regulation of lipolysis in adipocytes
TTDR00173;hsa04970;Salivary secretion
TTDR00173;hsa04971;Gastric acid secretion
TTDR00173;hsa04972;Pancreatic secretion
TTDR00173;hsa04976;Bile secretion
TTDR00173;hsa05032;Morphine addiction
TTDR00173;hsa05166;HTLV-I infection
TTDR00173;hsa05200;Pathways in cancer
TTDR00173;hsa05414;Dilated cardiomyopathy
TTDR00184;hsa04080;Neuroactive ligand-receptor interaction
TTDR00192;hsa04060;Cytokine-cytokine receptor interaction
TTDR00197;hsa04614;Renin-angiotensin system
TTDR00199;hsa04010;MAPK signaling pathway
TTDR00199;hsa04020;Calcium signaling pathway
TTDR00199;hsa04721;Synaptic vesicle cycle
TTDR00199;hsa04723;Retrograde endocannabinoid signaling
TTDR00199;hsa04724;Glutamatergic synapse
TTDR00199;hsa04725;Cholinergic synapse
TTDR00199;hsa04726;Serotonergic synapse
TTDR00199;hsa04727;GABAergic synapse
TTDR00199;hsa04728;Dopaminergic synapse
TTDR00199;hsa04730;Long-term depression
TTDR00199;hsa04742;Taste transduction
TTDR00199;hsa04930;Type II diabetes mellitus
TTDR00199;hsa05032;Morphine addiction
TTDR00199;hsa05033;Nicotine addiction
TTDR00200;hsa04010;MAPK signaling pathway
TTDR00200;hsa04020;Calcium signaling pathway
TTDR00200;hsa04930;Type II diabetes mellitus
TTDR00202;hsa04110;Cell cycle
TTDR00202;hsa04914;Progesterone-mediated oocyte maturation
TTDR00202;hsa05206;MicroRNAs in cancer
TTDR00205;hsa04060;Cytokine-cytokine receptor interaction
TTDR00205;hsa04062;Chemokine signaling pathway
TTDR00205;hsa04064;NF-kappa B signaling pathway
TTDR00205;hsa04620;Toll-like receptor signaling pathway
TTDR00205;hsa04621;NOD-like receptor signaling pathway
TTDR00205;hsa04622;RIG-I-like receptor signaling pathway
TTDR00205;hsa04932;Non-alcoholic fatty liver disease (NAFLD)
TTDR00205;hsa05120;Epithelial cell signaling in Helicobacter pylori infection
TTDR00205;hsa05131;Shigellosis
TTDR00205;hsa05132;Salmonella infection
TTDR00205;hsa05133;Pertussis
TTDR00205;hsa05134;Legionellosis
TTDR00205;hsa05142;Chagas disease (American trypanosomiasis)
TTDR00205;hsa05144;Malaria
TTDR00205;hsa05146;Amoebiasis
TTDR00205;hsa05160;Hepatitis C
TTDR00205;hsa05161;Hepatitis B
TTDR00205;hsa05164;Influenza A
TTDR00205;hsa05200;Pathways in cancer
TTDR00205;hsa05202;Transcriptional misregulation in cancer
TTDR00205;hsa05219;Bladder cancer
TTDR00205;hsa05323;Rheumatoid arthritis
TTDR00208;hsa04110;Cell cycle
TTDR00208;hsa04114;Oocyte meiosis
TTDR00208;hsa04914;Progesterone-mediated oocyte maturation
TTDR00208;hsa05206;MicroRNAs in cancer
TTDR00209;hsa00910;Nitrogen metabolism
TTDR00209;hsa04964;Proximal tubule bicarbonate reclamation
TTDR00210;hsa00910;Nitrogen metabolism
TTDR00211;hsa00910;Nitrogen metabolism
TTDR00212;hsa00910;Nitrogen metabolism
TTDR00213;hsa00910;Nitrogen metabolism
TTDR00217;hsa04151;PI3K-Akt signaling pathway
TTDR00217;hsa04510;Focal adhesion
TTDR00217;hsa04512;ECM-receptor interaction
TTDR00217;hsa04514;Cell adhesion molecules (CAMs)
TTDR00217;hsa04640;Hematopoietic cell lineage
TTDR00217;hsa04670;Leukocyte transendothelial migration
TTDR00217;hsa04672;Intestinal immune network for IgA production
TTDR00217;hsa04810;Regulation of actin cytoskeleton
TTDR00217;hsa05140;Leishmaniasis
TTDR00217;hsa05410;Hypertrophic cardiomyopathy (HCM)
TTDR00217;hsa05412;Arrhythmogenic right ventricular cardiomyopathy (ARVC)
TTDR00217;hsa05414;Dilated cardiomyopathy
TTDR00219;hsa00230;Purine metabolism
TTDR00219;hsa00983;Drug metabolism - other enzymes
TTDR00219;hsa01100;Metabolic pathways
TTDR00221;hsa04744;Phototransduction
TTDR00222;hsa00250;Alanine, aspartate and glutamate metabolism
TTDR00222;hsa00270;Cysteine and methionine metabolism
TTDR00222;hsa00330;Arginine and proline metabolism
TTDR00222;hsa00350;Tyrosine metabolism
TTDR00222;hsa00360;Phenylalanine metabolism
TTDR00222;hsa00400;Phenylalanine, tyrosine and tryptophan biosynthesis
TTDR00222;hsa01100;Metabolic pathways
TTDR00222;hsa01130;Biosynthesis of antibiotics
TTDR00222;hsa01200;Carbon metabolism
TTDR00222;hsa01210;2-Oxocarboxylic acid metabolism
TTDR00222;hsa01230;Biosynthesis of amino acids
TTDR00224;hsa03030;DNA replication
TTDR00224;hsa03410;Base excision repair
TTDR00224;hsa03420;Nucleotide excision repair
TTDR00224;hsa03430;Mismatch repair
TTDR00224;hsa04110;Cell cycle
TTDR00224;hsa05161;Hepatitis B
TTDR00224;hsa05166;HTLV-I infection
TTDR00225;hsa04144;Endocytosis
TTDR00225;hsa04913;Ovarian steroidogenesis
TTDR00225;hsa04976;Bile secretion
TTDR00225;hsa05145;Toxoplasmosis
TTDR00225;hsa05160;Hepatitis C
TTDR00226;hsa00260;Glycine, serine and threonine metabolism
TTDR00226;hsa00460;Cyanoamino acid metabolism
TTDR00226;hsa00630;Glyoxylate and dicarboxylate metabolism
TTDR00226;hsa00670;One carbon pool by folate
TTDR00226;hsa01100;Metabolic pathways
TTDR00226;hsa01130;Biosynthesis of antibiotics
TTDR00226;hsa01200;Carbon metabolism
TTDR00226;hsa01230;Biosynthesis of amino acids
TTDR00231;hsa00240;Pyrimidine metabolism
TTDR00231;hsa00983;Drug metabolism - other enzymes
TTDR00231;hsa01100;Metabolic pathways
TTDR00233;hsa04064;NF-kappa B signaling pathway
TTDR00233;hsa04380;Osteoclast differentiation
TTDR00233;hsa04611;Platelet activation
TTDR00233;hsa04662;B cell receptor signaling pathway
TTDR00233;hsa04664;Fc epsilon RI signaling pathway
TTDR00233;hsa05340;Primary immunodeficiency
TTDR00234;hsa00590;Arachidonic acid metabolism
TTDR00234;hsa00591;Linoleic acid metabolism
TTDR00234;hsa01100;Metabolic pathways
TTDR00234;hsa04726;Serotonergic synapse
TTDR00238;hsa04060;Cytokine-cytokine receptor interaction
